bundesland,2019,2018,2017,2016,2015,color
Baden-Württemberg,14310,16391,19128,8000,17089,red
Bayern,419885,266094,181026,84412,83199,blue
Brandenburg,71443,87142,84538,76696,179124,Black
Hessen,18935,0,2884,48965,7200,Green
Mecklenburg-Vorpommern,220459,55467,214003,43440,89672,Pink
Niedersachsen,21659,0,7608,1814,10000,Purple
Nordrhein-Westfalen,1500,10000,0,0,6007,Orange
Rheinland-Pfalz,24390,51667,0,12890,27572,Magenta
Saarland,11000,0,0,13914,1350,Cyan
Sachsen,34392,27011,54320,17029,2980,Yellow
Sachsen-Anhalt,96527,13927,51549,42981,62133,Gold
Schleswig-Holstein,22400,38586,5500,61619,19974,Gray
Thüringen,58830,10212,2372,9289,14570,Lightgreen
